#x,T,xh2o,xco2,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[],[kW/m3],[kW/m2]
    0.000000000000000E+000,    0.300000000000000E+003,    0.000000000000000E+000,    0.000000000000000E+000,    0.685914531332866E-312,    0.000000000000000E+000,    0.000000000000000E+000,    0.685914531337807E-312,   -0.212322433981705E+002,   -0.193250778797420E+002
    0.100000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.685914531332866E-312,   -0.152233372343732E+003,   -0.763807254672360E+002,    0.510085126400473E-312,   -0.183321794695247E+002,   -0.178613513652823E+002
    0.300000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.965344091119538E+002,   -0.686323501995388E+002,    0.510085126400473E-312,   -0.164041640408138E+002,   -0.164921390965801E+002
    0.500000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.730122833900912E+002,   -0.625401405296663E+002,    0.000000000000000E+000,   -0.149466887627967E+002,   -0.152449680464532E+002
    0.700000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.602825648531695E+002,   -0.574923078553518E+002,    0.000000000000000E+000,   -0.137439110281013E+002,   -0.140989630205589E+002
    0.900000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.523020051268456E+002,   -0.531919216626186E+002,    0.000000000000000E+000,   -0.127008536331323E+002,   -0.130391883050146E+002
    0.110000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.468128627680761E+002,   -0.494677106712651E+002,    0.212199564472184E-316,   -0.117676946840609E+002,   -0.120541345529089E+002
    0.130000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.427937075976207E+002,   -0.462079627246571E+002,    0.000000000000000E+000,   -0.109150414217867E+002,   -0.111345276799497E+002
    0.150000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.397170875223621E+002,   -0.433339042823706E+002,    0.000000000000000E+000,   -0.101240507169205E+002,   -0.102726701780049E+002
    0.170000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.372838880721586E+002,   -0.407871562658862E+002,    0.000000000000000E+000,   -0.938186238148582E+001,   -0.946203332040210E+001
    0.190000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.353122075961931E+002,   -0.385229571136438E+002,    0.000000000000000E+000,   -0.867925498531731E+001,   -0.869698491586211E+001
    0.210000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.336851875521531E+002,   -0.365061182643423E+002,    0.000000000000000E+000,   -0.800934507668425E+001,   -0.797259796371786E+001
    0.230000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.323243357972496E+002,   -0.347084421088188E+002,    0.000000000000000E+000,   -0.736681994874667E+001,   -0.728451096245024E+001
    0.250000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.311749579375243E+002,   -0.331069946261588E+002,    0.000000000000000E+000,   -0.674746179264572E+001,   -0.662882277947415E+001
    0.270000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.301977655867021E+002,   -0.316829086168898E+002,    0.000000000000000E+000,   -0.614783970139918E+001,   -0.600201147210921E+001
    0.290000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.293638205519246E+002,   -0.304205309745302E+002,    0.000000000000000E+000,   -0.556510280891699E+001,   -0.540087018114975E+001
    0.310000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.286513688430464E+002,   -0.293068008025997E+002,    0.000000000000000E+000,   -0.499683677112969E+001,   -0.482245548267135E+001
    0.330000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.280437908222645E+002,   -0.283307870269698E+002,    0.000000000000000E+000,   -0.444096127065738E+001,   -0.426404501115292E+001
    0.350000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.275282354865845E+002,   -0.274833391527902E+002,    0.000000000000000E+000,   -0.389565486757140E+001,   -0.372310209453640E+001
    0.370000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.270946883737479E+002,   -0.267568202812478E+002,    0.000000000000000E+000,   -0.335929853023395E+001,   -0.319724576018286E+001
    0.390000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.267353228536518E+002,   -0.261449013517599E+002,    0.000000000000000E+000,   -0.283043218656392E+001,   -0.268422489215238E+001
