#x,T,xh2o,xco2,S,qx
#[m],[K],[],[],[kW/m3],[kW/m2]
    0.000000000000000E+000,    0.500000000000000E+003,    0.000000000000000E+000,    0.000000000000000E+000,    0.000000000000000E+000,   -0.167814209214283E+003
    0.100000000000000E+000,    0.149975328018287E+004,    0.246719817134200E-003,    0.999753280182866E+000,   -0.459760974130713E+003,   -0.772905642493362E+002
    0.300000000000000E+000,    0.149778098230154E+004,    0.221901769846000E-002,    0.997780982301540E+000,   -0.208932414792206E+003,   -0.362306503237675E+002
    0.500000000000000E+000,    0.149384417029757E+004,    0.615582970243111E-002,    0.993844170297569E+000,   -0.104414266332374E+003,   -0.160481707404699E+002
    0.700000000000000E+000,    0.148795838096937E+004,    0.120416190306263E-001,    0.987958380969374E+000,   -0.566387122727200E+002,   -0.538214348786596E+001
    0.900000000000000E+000,    0.148014684283847E+004,    0.198531571615285E-001,    0.980146842838472E+000,   -0.335453522433625E+002,    0.702531697733968E+000
    0.110000000000000E+001,    0.147044038447711E+004,    0.295596155228873E-001,    0.970440384477113E+000,   -0.216682638218347E+002,    0.447307495609777E+001
    0.130000000000000E+001,    0.145887731284199E+004,    0.411226871580094E-001,    0.958877312841991E+000,   -0.152271381346903E+002,    0.700719257679175E+001
    0.150000000000000E+001,    0.144550326209418E+004,    0.544967379058161E-001,    0.945503262094184E+000,   -0.114438132863839E+002,    0.883690460786750E+001
    0.170000000000000E+001,    0.143037101350197E+004,    0.696289864980282E-001,    0.930371013501972E+000,   -0.899107175547200E+001,    0.102345972777716E+002
    0.190000000000000E+001,    0.141354028713728E+004,    0.864597128627191E-001,    0.913540287137281E+000,   -0.718949016786350E+001,    0.113440715468379E+002
    0.210000000000000E+001,    0.139507750618785E+004,    0.104922493812155E+000,    0.895077506187845E+000,   -0.571049950807091E+001,    0.122397986704309E+002
    0.230000000000000E+001,    0.137505553481523E+004,    0.124944465184770E+000,    0.875055534815230E+000,   -0.452993212835760E+001,    0.129422236442096E+002
    0.250000000000000E+001,    0.135355339059327E+004,    0.146446609406726E+000,    0.853553390593274E+000,   -0.341529981601806E+001,    0.134899574742774E+002
    0.270000000000000E+001,    0.133065593266183E+004,    0.169344067338174E+000,    0.830655932661826E+000,   -0.231304800477153E+001,    0.138984782327747E+002
    0.290000000000000E+001,    0.130645352682649E+004,    0.193546473173512E+000,    0.806453526826488E+000,   -0.118031955739146E+001,    0.141559093862058E+002
    0.310000000000000E+001,    0.128104168892607E+004,    0.218958311073935E+000,    0.781041688926065E+000,   -0.354713931304327E+000,    0.142893419630456E+002
    0.330000000000000E+001,    0.125452070787519E+004,    0.245479292124814E+000,    0.754520707875186E+000,    0.456156923263036E+000,    0.143250165960226E+002
    0.350000000000000E+001,    0.122699524986977E+004,    0.273004750130227E+000,    0.726995249869773E+000,    0.130054128820389E+001,    0.142343913778244E+002
    0.370000000000000E+001,    0.119857394531739E+004,    0.301426054682610E+000,    0.698573945317390E+000,    0.218131573684247E+001,    0.140596024837661E+002
    0.390000000000000E+001,    0.116936896012265E+004,    0.330631039877354E+000,    0.669368960122646E+000,    0.287133266266716E+001,    0.137244028482971E+002
    0.410000000000000E+001,    0.113949555301961E+004,    0.360504446980385E+000,    0.639495553019615E+000,    0.346706977707251E+001,    0.133332637647242E+002
    0.430000000000000E+001,    0.110907162069827E+004,    0.390928379301729E+000,    0.609071620698271E+000,    0.402181496366184E+001,    0.128515561744662E+002
    0.450000000000000E+001,    0.107821723252012E+004,    0.421782767479885E+000,    0.578217232520115E+000,    0.434296986301405E+001,    0.123223758208459E+002
    0.470000000000000E+001,    0.104705415665926E+004,    0.452945843340743E+000,    0.547054156659257E+000,    0.458898860903162E+001,    0.117647617199989E+002
    0.490000000000000E+001,    0.101570537953906E+004,    0.484294620460936E+000,    0.515705379539064E+000,    0.481614490263848E+001,    0.111687748568350E+002
    0.510000000000000E+001,    0.984294620460936E+003,    0.515705379539064E+000,    0.484294620460936E+000,    0.485718573594244E+001,    0.105633011211317E+002
    0.530000000000000E+001,    0.952945843340743E+003,    0.547054156659257E+000,    0.452945843340743E+000,    0.478092102172521E+001,    0.996482519196403E+001
    0.550000000000000E+001,    0.921782767479885E+003,    0.578217232520115E+000,    0.421782767479885E+000,    0.471225764897763E+001,    0.937260529469449E+001
    0.570000000000000E+001,    0.890928379301729E+003,    0.609071620698271E+000,    0.390928379301729E+000,    0.455445917568003E+001,    0.880062185506205E+001
    0.590000000000000E+001,    0.860504446980385E+003,    0.639495553019615E+000,    0.360504446980385E+000,    0.427876640912159E+001,    0.826877577499884E+001
    0.610000000000000E+001,    0.830631039877354E+003,    0.669368960122646E+000,    0.330631039877354E+000,    0.406542326255049E+001,    0.776085785386662E+001
    0.630000000000000E+001,    0.801426054682610E+003,    0.698573945317390E+000,    0.301426054682610E+000,    0.385978613107985E+001,    0.727418993258325E+001
    0.650000000000000E+001,    0.773004750130227E+003,    0.726995249869773E+000,    0.273004750130227E+000,    0.350939291801944E+001,    0.683415475105256E+001
    0.670000000000000E+001,    0.745479292124814E+003,    0.754520707875186E+000,    0.245479292124814E+000,    0.322634008124280E+001,    0.643014542893761E+001
    0.690000000000000E+001,    0.718958311073935E+003,    0.781041688926065E+000,    0.218958311073935E+000,    0.297618533611925E+001,    0.605416864741635E+001
    0.710000000000000E+001,    0.693546473173512E+003,    0.806453526826488E+000,    0.193546473173512E+000,    0.271358943775216E+001,    0.571323569674662E+001
    0.730000000000000E+001,    0.669344067338174E+003,    0.830655932661826E+000,    0.169344067338174E+000,    0.243040370893441E+001,    0.541276888784279E+001
    0.750000000000000E+001,    0.646446609406726E+003,    0.853553390593274E+000,    0.146446609406726E+000,    0.221456405230530E+001,    0.514049810709256E+001
    0.770000000000000E+001,    0.624944465184770E+003,    0.875055534815230E+000,    0.124944465184770E+000,    0.204129772625591E+001,    0.488854750992339E+001
    0.790000000000000E+001,    0.604922493812155E+003,    0.895077506187845E+000,    0.104922493812155E+000,    0.188918948289492E+001,    0.465792417588601E+001
    0.810000000000000E+001,    0.586459712862719E+003,    0.913540287137281E+000,    0.864597128627189E-001,    0.175112870982681E+001,    0.443901612350717E+001
    0.830000000000000E+001,    0.569628986498028E+003,    0.930371013501972E+000,    0.696289864980281E-001,    0.161933109402990E+001,    0.423006678787624E+001
    0.850000000000000E+001,    0.554496737905816E+003,    0.945503262094184E+000,    0.544967379058161E-001,    0.146332201856796E+001,    0.403700150637637E+001
    0.870000000000000E+001,    0.541122687158010E+003,    0.958877312841991E+000,    0.411226871580095E-001,    0.127785758936729E+001,    0.386131419349297E+001
    0.890000000000000E+001,    0.529559615522887E+003,    0.970440384477113E+000,    0.295596155228873E-001,    0.104868311904563E+001,    0.371104100462436E+001
    0.910000000000000E+001,    0.519853157161528E+003,    0.980146842838472E+000,    0.198531571615284E-001,    0.787366055102907E+000,    0.359277236275461E+001
    0.930000000000000E+001,    0.512041619030626E+003,    0.987958380969374E+000,    0.120416190306263E-001,    0.520643091676027E+000,    0.351062586345398E+001
    0.950000000000000E+001,    0.506155829702431E+003,    0.993844170297569E+000,    0.615582970243117E-002,    0.284721189360070E+000,    0.346348852033424E+001
    0.970000000000000E+001,    0.502219017698460E+003,    0.997780982301540E+000,    0.221901769846000E-002,    0.107254721872806E+000,    0.344511218315494E+001
    0.990000000000000E+001,    0.500246719817134E+003,    0.999753280182866E+000,    0.246719817134200E-003,    0.122247382061251E-001,    0.344312124577546E+001
    0.100000000000000E+002,    0.500000000000000E+003,    0.000000000000000E+000,    0.000000000000000E+000,    0.000000000000000E+000,    0.344312692601342E+001
