#x,T,xh2o,xco2,S,qx,Xq_SLW1,Q_SLW1,Xq_SLW,Q_SLW,Xs_SLW1,Ss_SLW1,Xs_SLW,Ss_SLW
#[m],[K],[],[],[kW/m3],[kW/m2],#[m],[kW/m2],#[m],[kW/m2],#[m],[kW/m3],#[m],[kW/m3]
0,300,0,0,0,-21.6464623220331,0.00977,-17.15707,0.0071389755926228,-18.4166888849916,0.0105432003271818,-77.1823446248158,0.00765185129911053,-134.391675226094
0.01,1000,0.2,0.1,-101.668780259833,-19.6568622928277,0.04018,-15.03691,0.00902436761499567,-18.038432110503,0.0407194001342527,-64.0597258549674,0.00958930511649461,-130.293483979257
0.03,1000,0.2,0.1,-88.8832425067382,-17.882115144755,0.0708,-13.22075,0.0109097596373685,-17.8020847534127,0.0708372321716808,-55.1666557787246,0.00961471434688652,-128.155297241777
0.05,1000,0.2,0.1,-79.05789862611,-16.3040790593103,0.10122,-11.64191,0.0165659357044872,-17.1876489604072,0.100761510344733,-48.3726170572986,0.0115648727794666,-122.988012626199
0.07,1000,0.2,0.1,-71.091148342369,-14.8855974140707,0.13168,-10.29957,0.0297636798610973,-15.9589457129698,0.130310587109008,-42.9903282621292,0.0115818122663945,-121.562554801213
0.09,1000,0.2,0.1,-64.4206509863552,-13.6007616413015,0.16201,-9.07023,0.0373052479505888,-15.297375119405,0.160829477193926,-38.4877980209837,0.0135362055707066,-116.038905729388
0.11,1000,0.2,0.1,-58.7255634080957,-12.4300813904566,0.19167,-7.95491,0.0542737761519447,-14.1636148273799,0.190448602621822,-34.7862272201684,0.0135467927500365,-115.147994588772
0.13,1000,0.2,0.1,-53.8025698777061,-11.358134104417,0.2229,-6.94348,0.065586128286182,-13.502380910962,0.220647175105046,-31.8435139159321,0.0135594973652325,-114.078901220032
0.15,1000,0.2,0.1,-49.5115239673863,-10.372301771275,0.25257,-6.02076,0.080669264465165,-12.6522711151599,0.250789635457619,-29.3294969176657,0.0155033034902146,-109.446163288824
0.17,1000,0.2,0.1,-45.7498263694036,-9.4620201345756,0.28275,-5.16345,0.0919816165994023,-12.180249755273,0.280669128686674,-27.1830935179645,0.0155160081054105,-108.377069920084
0.19,1000,0.2,0.1,-42.4392256176998,-8.61829190581768,0.31319,-4.36675,0.0976377926665209,-11.8023296579313,0.311047128410094,-25.4242056143049,0.0155287127206065,-107.307976551344
0.21,1000,0.2,0.1,-39.5183505180762,-7.83334934719229,0.34352,-3.62978,0.10329396873364,-11.7082283953861,0.341010787287313,-23.9859837256635,0.0174682839738566,-103.031603076384
0.23,1000,0.2,0.1,-36.9381119633669,-7.10040883934086,0.37353,-2.90348,0.112720928845504,-11.2360386969257,0.370956961526076,-22.8308085346886,0.0174852234607845,-101.606145251397
0.25,1000,0.2,0.1,-34.6586745562866,-6.4134860408482,0.40355,-2.21511,0.118377104912623,-10.9527248778495,0.400549943988187,-21.9303091044413,0.0174979280759805,-100.537051882657
0.27,1000,0.2,0.1,-32.6473615899327,-5.76725297564679,0.43359,-1.56726,0.141001809181097,-10.0086821580757,0.430252195261694,-21.2362311271526,0.0194205598423026,-97.6861362326828
0.29,1000,0.2,0.1,-30.8771543761526,-5.15692516525195,0.46404,-0.91505,0.146657985248216,-9.81997461726495,0.460557120677033,-20.8958943269281,0.0194290295857666,-96.9734073201894
0.31,1000,0.2,0.1,-29.3255902003933,-4.5781708378295,0.49395,-0.26457,0.154199553337707,-9.53682913676217,0.489788385003696,-20.7285737131284,0.0213453090444907,-94.6570383545858
0.33,1000,0.2,0.1,-27.9739380143262,-4.02703666465756,0.52418,0.35605,0.163626513449572,-9.25385199483281,0.520361413562275,-20.7767976326006,0.0213580136596867,-93.5879449858456
0.35,1000,0.2,0.1,-26.8065732833209,-3.4998860471498,0.55425,1.00529,0.16928268951669,-8.8759318974911,0.550302651348126,-21.0730347616293,0.0232742931184108,-91.271576020242
0.37,1000,0.2,0.1,-25.8104990119225,-2.9933470382941,0.58428,1.65967,0.184365825695673,-8.49885349301653,0.580173553021973,-21.4222610090414,0.0232827628618748,-90.5588471077486
0.39,1000,0.2,0.1,-24.9749763162736,-2.50426771638228,0.6144,2.34616,0.190022001762792,-8.31014595220581,0.610165284802233,-22.1009590934797,0.0252011597564649,-88.0642959140216
0.41,1000,0.2,0.1,-24.2912387689986,-2.0296773461147,0.64458,3.00503,0.19567817782991,-8.1214384113951,0.640265351331469,-23.1671004760502,0.0252096294999289,-87.3515670015282
0.43,1000,0.2,0.1,-23.7522721735784,-1.56675203114302,0.67521,3.72217,0.202277049908216,-7.9328150398711,0.67015251992064,-24.3724318527282,0.0309605853119674,-80.2242778765939
0.45,1000,0.2,0.1,-23.3526466418681,-1.11278382727548,0.70491,4.50772,0.223959058165504,-7.27250698560702,0.699702559516048,-25.8413256362564,0.0309690550554313,-79.5115489641005
0.47,1000,0.2,0.1,-23.0883916004349,-0.665152476351596,0.73556,5.31807,0.231500626254995,-6.98936150510424,0.729948255271089,-27.6358069091967,0.0347846744859517,-76.3042688578801
0.49,1000,0.2,0.1,-22.9569071250274,-0.221299056962291,0.76597,6.19717,0.241870282378046,-6.7064685324616,0.75999691589983,-29.8644056388097,0.0367073062522738,-73.4533532079064
0.51,1000,0.2,0.1,-22.9569071250274,0.221299056962291,0.79585,7.12701,0.252239938501097,-6.42357555981895,0.7899295686101,-32.6130517402685,0.038608763659936,-72.3842598391663
0.53,1000,0.2,0.1,-23.0883916004349,0.665152476351594,0.82626,8.16891,0.262609594624148,-6.09337944804356,0.819850767922739,-35.8099542594529,0.0462315327775127,-66.6824285392189
