#x,T,xh2o,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[kW/m3],[kW/m2]
    0.000000000000000E+000,    0.125000000000000E+004,    0.100000000000000E+000,    0.639486693290311E-312,   -0.134613589403498E+002,   -0.338678838808873E+001,    0.639486693295252E-312,    0.103031444929002E+003,    0.766369829725862E+002
    0.100000000000000E-001,    0.124996915812042E+004,    0.100000000000000E+000,    0.639486693290311E-312,   -0.134507132247743E+002,   -0.290364090412043E+001,    0.495553397944198E-312,    0.103031348787764E+003,    0.766345336431012E+002
    0.300000000000000E-001,    0.124972246874049E+004,    0.100000000000000E+000,    0.495553397959020E-312,   -0.136901681744478E+002,   -0.368484289986917E+001,    0.495553397949138E-312,    0.103299605998339E+003,    0.766744734813691E+002
    0.500000000000000E-001,    0.124922933343328E+004,    0.100000000000000E+000,    0.495553397959020E-312,   -0.138794321787069E+002,   -0.401527892303339E+001,    0.000000000000000E+000,    0.103571976192767E+003,    0.767212281338807E+002
    0.700000000000000E-001,    0.124849023886379E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.140217517060337E+002,   -0.414651681171772E+001,    0.000000000000000E+000,    0.103847526306731E+003,    0.767708816280745E+002
    0.900000000000000E-001,    0.124750591442914E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.141195161918533E+002,   -0.418234982236101E+001,    0.000000000000000E+000,    0.104125371308540E+003,    0.768215930513893E+002
    0.110000000000000E+000,    0.124627733153869E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.141746679555915E+002,   -0.416850435884646E+001,    0.212199564472184E-316,    0.104404664228373E+003,    0.768724350373262E+002
    0.130000000000000E+000,    0.124480570265544E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.141888148211054E+002,   -0.412598255761261E+001,    0.000000000000000E+000,    0.104684590013467E+003,    0.769228991083041E+002
    0.150000000000000E+000,    0.124309248009942E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.141633447591944E+002,   -0.406475735169219E+001,    0.000000000000000E+000,    0.104964361007930E+003,    0.769726749291587E+002
    0.170000000000000E+000,    0.124113935461445E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.140996709236685E+002,   -0.398973158247103E+001,    0.000000000000000E+000,    0.105243215673931E+003,    0.770215487608638E+002
    0.190000000000000E+000,    0.123894825369958E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.139989191075308E+002,   -0.390342911551846E+001,    0.000000000000000E+000,    0.105520416435390E+003,    0.770693557721770E+002
    0.210000000000000E+000,    0.123652133970689E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.138620842093549E+002,   -0.380723884662391E+001,    0.000000000000000E+000,    0.105795245835257E+003,    0.771159573035160E+002
    0.230000000000000E+000,    0.123386100770747E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.136902400178857E+002,   -0.370199261387468E+001,    0.000000000000000E+000,    0.106067006263192E+003,    0.771612298379734E+002
    0.250000000000000E+000,    0.123096988312782E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.134847755265775E+002,   -0.358821977476761E+001,    0.000000000000000E+000,    0.106335023985994E+003,    0.772050593771278E+002
    0.270000000000000E+000,    0.122785081915886E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.132469944517959E+002,   -0.346622186541321E+001,    0.000000000000000E+000,    0.106598651485204E+003,    0.772473379822831E+002
    0.290000000000000E+000,    0.122450689394015E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.129801487609515E+002,   -0.333600293966604E+001,    0.000000000000000E+000,    0.106857285233966E+003,    0.772879603983597E+002
    0.310000000000000E+000,    0.122094140752217E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.126832894781299E+002,   -0.319699898234898E+001,    0.000000000000000E+000,    0.107110344218486E+003,    0.773268185978091E+002
    0.330000000000000E+000,    0.121715787860955E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.123571195817326E+002,   -0.304740061382415E+001,    0.000000000000000E+000,    0.107357245504498E+003,    0.773637905765198E+002
    0.350000000000000E+000,    0.121316004108852E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.120027624745480E+002,   -0.288250871884385E+001,    0.000000000000000E+000,    0.107597423981027E+003,    0.773987154393566E+002
    0.370000000000000E+000,    0.120895184034207E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.116214977755041E+002,   -0.269055049244868E+001,    0.000000000000000E+000,    0.107830337995792E+003,    0.774313355190889E+002
    0.390000000000000E+000,    0.120453742935626E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.112146439551691E+002,   -0.244095777110920E+001,    0.000000000000000E+000,    0.108055471148287E+003,    0.774611547799759E+002
    0.410000000000000E+000,    0.119992116462177E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.107847733593841E+002,   -0.205992630626155E+001,    0.000000000000000E+000,    0.108272344435302E+003,    0.774871391868356E+002
    0.430000000000000E+000,    0.119510760183458E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.103734765781783E+002,   -0.212146912061286E+001,    0.000000000000000E+000,    0.108480895915832E+003,    0.775110979010863E+002
    0.450000000000000E+000,    0.119010149140001E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.994143662210813E+001,   -0.204640374534068E+001,    0.000000000000000E+000,    0.108681101539014E+003,    0.775347396971590E+002
    0.470000000000000E+000,    0.118490777374465E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.949022336267585E+001,   -0.191821848573449E+001,    0.000000000000000E+000,    0.108872572736397E+003,    0.775570237776006E+002
    0.490000000000000E+000,    0.117953157444080E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.902004826979891E+001,   -0.176698061607659E+001,    0.000000000000000E+000,    0.109054938002901E+003,    0.775775072301759E+002
    0.510000000000000E+000,    0.117397819914808E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.853123243938065E+001,   -0.160505640495225E+001,    0.000000000000000E+000,    0.109227830847892E+003,    0.775959910009040E+002
    0.530000000000000E+000,    0.116825312837744E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.802734309151856E+001,   -0.143802989714723E+001,    0.000000000000000E+000,    0.109390922931494E+003,    0.776123843179806E+002
    0.550000000000000E+000,    0.116236201208255E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.750871480682418E+001,   -0.126865962672881E+001,    0.000000000000000E+000,    0.109543924542519E+003,    0.776266483958442E+002
    0.570000000000000E+000,    0.115631066408393E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.697521117333939E+001,   -0.109843482075005E+001,    0.000000000000000E+000,    0.109686548472306E+003,    0.776387715642966E+002
    0.590000000000000E+000,    0.115010505633147E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.642788691878098E+001,   -0.928185167703240E+000,    0.000000000000000E+000,    0.109818517160060E+003,    0.776487572425927E+002
    0.610000000000000E+000,    0.114375131301082E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.586882905530270E+001,   -0.758243020184843E+000,    0.000000000000000E+000,    0.109939584813017E+003,    0.776566166108614E+002
    0.630000000000000E+000,    0.113725570449953E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.529914863164138E+001,   -0.588276672795398E+000,    0.000000000000000E+000,    0.110049538322228E+003,    0.776623613104046E+002
    0.650000000000000E+000,    0.113062464117899E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.471914772406192E+001,   -0.416648500354791E+000,    0.000000000000000E+000,    0.110148180743920E+003,    0.776659913912311E+002
    0.670000000000000E+000,    0.112386466710810E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.412874709026496E+001,   -0.238721611471060E+000,    0.000000000000000E+000,    0.110235320940556E+003,    0.776674697875479E+002
    0.690000000000000E+000,    0.111698245356514E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.352783432209141E+001,   -0.423985427433449E-001,    0.000000000000000E+000,    0.110310771456586E+003,    0.776666626429425E+002
    0.710000000000000E+000,    0.110998479246398E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.291384212892274E+001,    0.204613513794034E+000,    0.000000000000000E+000,    0.110374329396164E+003,    0.776631902870243E+002
    0.730000000000000E+000,    0.110287858965128E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.228932748463992E+001,    0.597522478246306E+000,    0.000000000000000E+000,    0.110425814389699E+003,    0.776560234690183E+002
    0.750000000000000E+000,    0.109567085809127E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.174054703670945E+001,    0.626723224649449E+000,    0.000000000000000E+000,    0.110465783921382E+003,    0.776468164696568E+002
    0.770000000000000E+000,    0.108836871094481E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.122936917862493E+001,    0.511380258467936E+000,    0.000000000000000E+000,    0.110495192206073E+003,    0.776382594160298E+002
    0.790000000000000E+000,    0.108097935454954E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.706417185513753E+000,    0.544669198029503E+000,    0.000000000000000E+000,    0.110514277480282E+003,    0.776301013221402E+002
    0.810000000000000E+000,    0.107351008130808E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.174770403084802E+000,    0.631373689452649E+000,    0.000000000000000E+000,    0.110522890857754E+003,    0.776212421353175E+002
    0.830000000000000E+000,    0.106596826249134E+004,    0.100000000000000E+000,    0.000000000000000E+000,    0.362008013386259E+000,    0.736939461787013E+000,    0.000000000000000E+000,    0.110520928525459E+003,    0.776112713753889E+002
    0.850000000000000E+000,    0.105836134096398E+004,    0.100000000000000E+000,    0.000000000000000E+000,    0.900074891959779E+000,    0.847614982163697E+000,    0.000000000000000E+000,    0.110508349759905E+003,    0.776000533977022E+002
    0.870000000000000E+000,    0.105069682383913E+004,    0.100000000000000E+000,    0.000000000000000E+000,    0.143502984257507E+001,    0.957843550866143E+000,    0.000000000000000E+000,    0.110485189124554E+003,    0.775875662792044E+002
    0.890000000000000E+000,    0.104298227506985E+004,    0.100000000000000E+000,    0.000000000000000E+000,    0.196502241829471E+001,    0.106588006512905E+001,    0.000000000000000E+000,    0.110451538459600E+003,    0.775738318495969E+002
    0.910000000000000E+000,    0.103522530798440E+004,    0.100000000000000E+000,    0.000000000000000E+000,    0.248980921472362E+001,    0.117265870880928E+001,    0.000000000000000E+000,    0.110407508909184E+003,    0.775588769358505E+002
    0.930000000000000E+000,    0.102743357777276E+004,    0.100000000000000E+000,    0.000000000000000E+000,    0.301000369251260E+001,    0.128284929579291E+001,    0.000000000000000E+000,    0.110353208611709E+003,    0.775426955466497E+002
    0.950000000000000E+000,    0.101961477393196E+004,    0.100000000000000E+000,    0.000000000000000E+000,    0.352508891209825E+001,    0.140938585814979E+001,    0.000000000000000E+000,    0.110288746415050E+003,    0.775251810918703E+002
