#x,T,xh2o,S,qx,X_SLW1,Ss_SLW1,X_SLW,Ss_SLW
#[m],[K],[],[kW/m3],[kW/m2],#[m],[kW/m3],#[m],[kW/m3]
0,1250,0.1,-14.5771253055751,66.6987190388336,0.0471634266096742,-10.5177119517004,0.0305616274020593,-10.9098748691598
0.02,1249.87664009143,0.1,-14.1414158741203,66.6921604327627,0.147694861395855,-10.8899089845417,0.068251234608789,-11.112915120373
0.06,1248.89049115077,0.1,-16.69128855089,67.2076151204419,0.248404760327659,-10.5481378622801,0.0850021711451134,-11.2482752878485
0.1,1246.92208514878,0.1,-18.1926923425497,67.7897840062013,0.344952740693616,-9.56560357916904,0.11222244301664,-11.3159553715863
0.14,1243.97919048469,0.1,-18.9107478022095,68.4083745829954,0.44522826462947,-8.0495027178428,0.181320056228978,-11.2482752878485
0.18,1240.07342141924,0.1,-19.0191507341982,69.0399564496456,0.545977356762188,-6.13901267811433,0.225872689938398,-11.0176991150442
0.22,1235.22019223856,0.1,-18.6399084204187,69.6658926389892,0.646057427668228,-3.96242854503816,0.306952080251411,-10.2330740317823
0.26,1229.438656421,0.1,-17.8633528117057,70.271076974,0.746745122283309,-1.53279213843194,0.323703016787735,-9.96235369683128
0.3,1222.75163104709,0.1,-16.7591554458459,70.8431217218575,0.84706866610412,0.832249705098317,0.37782340862423,-9.22566371681416
0.34,1215.18550675099,0.1,-15.3822681083135,71.3718029619747,0.947430648064328,3.13507850227212,0.411645433603438,-8.60875202207631
0.38,1206.77014356864,0.1,-13.7749308186543,71.8486391883674,1.0481610706809,5.25485478194198,0.478649179748736,-7.39051051479684
0.42,1197.53875309392,0.1,-12.0368099441768,72.267647407092,1.14804712876643,7.03452746390567,0.49540011628506,-7.0521100961081
0.46,1187.52776740761,0.1,-10.3347393000569,72.6272474423173,1.24927321837304,8.56304445868642,0.507963318687303,-6.7813897611571
0.5,1176.77669529664,0.1,-8.52166621810482,72.9260520650412,1.34963767801343,9.74141687876269,0.583342533100763,-5.15706775145113
0.54,1165.32796633091,0.1,-6.64322811153113,73.161386196605,1.45005436152684,10.484329397489,0.600093469637087,-4.88634741650014
0.58,1153.22676341324,0.1,-4.73637452443622,73.3319737140207,1.5466023418928,10.8928529041753,0.621032140307493,-4.2772266628604
0.62,1140.52084446303,0.1,-2.83184785186067,73.4377172856128,1.64710796111074,10.8928529041753,0.669404517453799,-3.25221238938053
0.66,1127.26035393759,0.1,-0.954117330002783,73.4794980961808,1.74780179309876,10.6253858867401,0.700599088855034,-2.51754448567894
0.7,1113.49762493489,0.1,0.880681969263546,73.4589472431762,1.84807106467153,10.0254329681987,0.708974557123196,-2.17914406699019
