#x,T,xh2o,S,qx,X_SLW1,Ss_SLW1,X_LBL,Ss_LBL
#[m],[K],[],[kW/m3],[kW/m2],#[m],[kW/m3],#[m],[kW/m3]
0,500,0,0,-17.5856693689843,0.0852255501900785,0.554338358773851,0.0776321944443132,1.38759869400253
0.1,531.410759078128,0.0314107590781283,2.3108670735469,-17.5583884068079,0.289366515211097,2.20040663574985,0.181913541455025,2.5028940790686
0.3,594.108313318514,0.0941083133185143,5.8802827806685,-17.7711865802596,0.492069334761076,4.13581378299121,0.286242138736244,3.77728112493444
0.5,656.434465040231,0.156434465040231,7.87607666737153,-18.4167252806092,0.682472225940302,6.40699332029978,0.452941093087758,5.05266042648094
0.7,718.143241396543,0.218143241396543,8.54795407568548,-19.21459900248,0.880087347846014,8.18780454841673,0.577870808310377,5.6910115810413
0.9,778.991106039229,0.278991106039229,8.15843626825198,-19.9854040778828,1.08173313486696,9.4789534847445,0.806940119732185,6.96738313826847
1.1,838.737920245291,0.338737920245291,7.17408949793333,-20.5840273160131,1.26425883787683,10.1382168458781,0.97340282273116,7.44730413581618
1.3,897.147890634781,0.397147890634781,6.03233089563109,-20.9703840366972,1.4652396674549,9.73264907135875,1.16056114421255,7.60937256365793
1.5,953.990499739547,0.453990499739547,4.52884015977003,-21.1637486275591,1.66622049703297,8.35371863799284,1.32683484612949,7.45292691800661
1.7,1009.04141575037,0.509041415750371,3.1255459756074,-21.1489030128851,1.85490139824029,6.09385727113597,1.47222392848199,6.97796719886222
1.9,1062.08337785213,0.562083377852131,1.66539961093981,-20.9585673824067,2.05760421779027,2.83799690452917,1.59682289181106,6.50267672782427
2.1,1112.90705365298,0.612907053652976,0.31896160900855,-20.6005496706839,2.25883104593576,-1.07054462479256,1.70053723557567,5.70887218329325
2.3,1161.31186532365,0.661311865323652,-1.39192387481544,-20.0869902646476,2.44426162564596,-5.76003991528185,1.80420432906978,4.75597597796248
2.5,1207.10678118655,0.707106781186547,-3.00082489483965,-19.3881883208513,2.64864652582578,-10.6336126724231,1.88712855381097,3.9618406815379
