#x,T,xh2o,S,qx
#[m],[K],[],[kW/m3],[kW/m2]
    0.000000000000000E+000,    0.125000000000000E+004,    0.100000000000000E+000,   -0.145771253055751E+002,    0.666987190388336E+002
    0.200000000000000E-001,    0.124987664009143E+004,    0.100000000000000E+000,   -0.141414158741203E+002,    0.666921604327627E+002
    0.600000000000000E-001,    0.124889049115077E+004,    0.100000000000000E+000,   -0.166912885508900E+002,    0.672076151204419E+002
    0.100000000000000E+000,    0.124692208514878E+004,    0.100000000000000E+000,   -0.181926923425497E+002,    0.677897840062013E+002
    0.140000000000000E+000,    0.124397919048469E+004,    0.100000000000000E+000,   -0.189107478022095E+002,    0.684083745829954E+002
    0.180000000000000E+000,    0.124007342141924E+004,    0.100000000000000E+000,   -0.190191507341982E+002,    0.690399564496456E+002
    0.220000000000000E+000,    0.123522019223856E+004,    0.100000000000000E+000,   -0.186399084204187E+002,    0.696658926389892E+002
    0.260000000000000E+000,    0.122943865642100E+004,    0.100000000000000E+000,   -0.178633528117057E+002,    0.702710769740000E+002
    0.300000000000000E+000,    0.122275163104709E+004,    0.100000000000000E+000,   -0.167591554458459E+002,    0.708431217218575E+002
    0.340000000000000E+000,    0.121518550675099E+004,    0.100000000000000E+000,   -0.153822681083135E+002,    0.713718029619747E+002
    0.380000000000000E+000,    0.120677014356864E+004,    0.100000000000000E+000,   -0.137749308186543E+002,    0.718486391883674E+002
    0.420000000000000E+000,    0.119753875309392E+004,    0.100000000000000E+000,   -0.120368099441768E+002,    0.722676474070920E+002
    0.460000000000000E+000,    0.118752776740761E+004,    0.100000000000000E+000,   -0.103347393000569E+002,    0.726272474423173E+002
    0.500000000000000E+000,    0.117677669529664E+004,    0.100000000000000E+000,   -0.852166621810482E+001,    0.729260520650412E+002
    0.540000000000000E+000,    0.116532796633091E+004,    0.100000000000000E+000,   -0.664322811153113E+001,    0.731613861966050E+002
    0.580000000000000E+000,    0.115322676341324E+004,    0.100000000000000E+000,   -0.473637452443622E+001,    0.733319737140207E+002
    0.620000000000000E+000,    0.114052084446303E+004,    0.100000000000000E+000,   -0.283184785186067E+001,    0.734377172856128E+002
    0.660000000000000E+000,    0.112726035393759E+004,    0.100000000000000E+000,   -0.954117330002783E+000,    0.734794980961808E+002
    0.700000000000000E+000,    0.111349762493489E+004,    0.100000000000000E+000,    0.880681969263546E+000,    0.734589472431762E+002
    0.740000000000000E+000,    0.109928697265870E+004,    0.100000000000000E+000,    0.265242024365001E+001,    0.733783863898288E+002
    0.780000000000000E+000,    0.108468448006132E+004,    0.100000000000000E+000,    0.405312575896038E+001,    0.732449592660153E+002
    0.820000000000000E+000,    0.106974777650981E+004,    0.100000000000000E+000,    0.538484702699486E+001,    0.730664416713521E+002
    0.860000000000000E+000,    0.105453581034914E+004,    0.100000000000000E+000,    0.661666227949284E+001,    0.728462219053345E+002
