#x,T,xh2o,xco2,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[],[kW/m3],[kW/m2]
    0.000000000000000E+000,    0.100000000000000E+002,    0.000000000000000E+000,    0.000000000000000E+000,    0.641458854209853E-312,    0.000000000000000E+000,    0.000000000000000E+000,    0.641458854214794E-312,   -0.212322433981705E+002,   -0.170703990856419E-001
    0.100000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.641458854209853E-312,   -0.152233372343732E+003,   -0.387231977523528E-001,    0.533884955672561E-312,   -0.183321794695247E+002,   -0.165112622628882E-001
    0.300000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.965344091119538E+002,   -0.379239737816609E-001,    0.533884955672561E-312,   -0.164041640408138E+002,   -0.157561048627988E-001
    0.500000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.730122833900912E+002,   -0.372471051525013E-001,    0.000000000000000E+000,   -0.149466887627967E+002,   -0.150145521796363E-001
    0.700000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.602825648531695E+002,   -0.366617944215708E-001,    0.000000000000000E+000,   -0.137439110281013E+002,   -0.142847750532591E-001
    0.900000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.523020051268456E+002,   -0.361471962639845E-001,    0.000000000000000E+000,   -0.127008536331323E+002,   -0.135653613203761E-001
    0.110000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.468128627680761E+002,   -0.356890076319494E-001,    0.212199564472184E-316,   -0.117676946840609E+002,   -0.128551849749680E-001
    0.130000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.427937075976207E+002,   -0.352772524500582E-001,    0.000000000000000E+000,   -0.109150414217867E+002,   -0.121533196353370E-001
    0.150000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.397170875223621E+002,   -0.349048389909285E-001,    0.000000000000000E+000,   -0.101240507169205E+002,   -0.114589808642382E-001
    0.170000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.372838880721586E+002,   -0.345666175534338E-001,    0.000000000000000E+000,   -0.938186238148582E+001,   -0.107714873361106E-001
    0.190000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.353122075961931E+002,   -0.342587625069131E-001,    0.000000000000000E+000,   -0.867925498531731E+001,   -0.100902343641653E-001
    0.210000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.336851875521531E+002,   -0.339783649980598E-001,    0.000000000000000E+000,   -0.800934507668425E+001,   -0.941467557416891E-002
    0.230000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.323243357972496E+002,   -0.337231627856305E-001,    0.000000000000000E+000,   -0.736681994874667E+001,   -0.874430998246558E-002
    0.250000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.311749579375243E+002,   -0.334913596027848E-001,    0.000000000000000E+000,   -0.674746179264572E+001,   -0.807867268780351E-002
    0.270000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.301977655867021E+002,   -0.332815031983654E-001,    0.000000000000000E+000,   -0.614783970139918E+001,   -0.741732800352104E-002
    0.290000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.293638205519246E+002,   -0.330924020342469E-001,    0.000000000000000E+000,   -0.556510280891699E+001,   -0.675986425712520E-002
    0.310000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.286513688430464E+002,   -0.329230676171844E-001,    0.000000000000000E+000,   -0.499683677112969E+001,   -0.610588974475110E-002
    0.330000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.280437908222645E+002,   -0.327726739758351E-001,    0.000000000000000E+000,   -0.444096127065738E+001,   -0.545502949780448E-002
    0.350000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.275282354865845E+002,   -0.326405287313081E-001,    0.000000000000000E+000,   -0.389565486757140E+001,   -0.480692263015607E-002
    0.370000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.270946883737479E+002,   -0.325260521170373E-001,    0.000000000000000E+000,   -0.335929853023395E+001,   -0.416122010717965E-002
    0.390000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.267353228536518E+002,   -0.324287615452480E-001,    0.000000000000000E+000,   -0.283043218656392E+001,   -0.351758282602772E-002
    0.410000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.264440419882847E+002,   -0.323482601280039E-001,    0.000000000000000E+000,   -0.230772049449869E+001,   -0.287567992843644E-002
    0.430000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.262161521492623E+002,   -0.322842280927770E-001,    0.000000000000000E+000,   -0.178992520936893E+001,   -0.223518728862308E-002
    0.450000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.260481303805975E+002,   -0.322364163840040E-001,    0.000000000000000E+000,   -0.127588228975776E+001,   -0.159578613309730E-002
    0.470000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.259374606311861E+002,   -0.322046419768986E-001,    0.000000000000000E+000,   -0.764482385741040E+000,   -0.957161758793461E-003
    0.490000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.258825225721416E+002,   -0.321887845893589E-001,    0.000000000000000E+000,   -0.254653685592248E+000,   -0.319002322355455E-003
    0.510000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.258825225721416E+002,   -0.321887845893589E-001,    0.000000000000000E+000,    0.254653685592248E+000,    0.319002322355463E-003
    0.530000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.259374606311861E+002,   -0.322046419768986E-001,    0.000000000000000E+000,    0.764482385741043E+000,    0.957161758793469E-003
    0.550000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.260481303805975E+002,   -0.322364163840040E-001,    0.000000000000000E+000,    0.127588228975776E+001,    0.159578613309732E-002
    0.570000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.262161521492623E+002,   -0.322842280927770E-001,    0.000000000000000E+000,    0.178992520936893E+001,    0.223518728862309E-002
    0.590000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.264440419882847E+002,   -0.323482601280039E-001,    0.000000000000000E+000,    0.230772049449869E+001,    0.287567992843645E-002
    0.610000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.267353228536518E+002,   -0.324287615452480E-001,    0.000000000000000E+000,    0.283043218656392E+001,    0.351758282602773E-002
    0.630000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.270946883737479E+002,   -0.325260521170373E-001,    0.000000000000000E+000,    0.335929853023395E+001,    0.416122010717966E-002
    0.650000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.275282354865844E+002,   -0.326405287313081E-001,    0.000000000000000E+000,    0.389565486757139E+001,    0.480692263015608E-002
    0.670000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.280437908222645E+002,   -0.327726739758351E-001,    0.000000000000000E+000,    0.444096127065738E+001,    0.545502949780449E-002
