#x,T,xh2o,xco2,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[],[kW/m3],[kW/m2]
    0.000000000000000E+000,    0.100000000000000E+002,    0.000000000000000E+000,    0.000000000000000E+000,    0.640019782562969E-312,    0.000000000000000E+000,    0.000000000000000E+000,    0.640019782567910E-312,   -0.212322433981705E+002,   -0.227086297887998E-001
    0.100000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.640019782562969E-312,   -0.152233372343732E+003,   -0.569777841961608E-001,    0.527279528498931E-312,   -0.183321794695247E+002,   -0.217926907978656E-001
    0.300000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.965344091119538E+002,   -0.548876017888710E-001,    0.527279528498931E-312,   -0.164041640408138E+002,   -0.207000949284245E-001
    0.500000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.730122833900912E+002,   -0.531609728484978E-001,    0.000000000000000E+000,   -0.149466887627967E+002,   -0.196421739590697E-001
    0.700000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.602825648531695E+002,   -0.516846360645112E-001,    0.000000000000000E+000,   -0.137439110281013E+002,   -0.186139271162609E-001
    0.900000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.523020051268456E+002,   -0.503923296449131E-001,    0.000000000000000E+000,   -0.127008536331323E+002,   -0.176116791091499E-001
    0.110000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.468128627680761E+002,   -0.492435546195892E-001,    0.212199564472184E-316,   -0.117676946840609E+002,   -0.166325648896986E-001
    0.130000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.427937075976207E+002,   -0.482122657659963E-001,    0.000000000000000E+000,   -0.109150414217867E+002,   -0.156742405957616E-001
    0.150000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.397170875223621E+002,   -0.472807833073893E-001,    0.000000000000000E+000,   -0.101240507169205E+002,   -0.147347162618494E-001
    0.170000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.372838880721586E+002,   -0.464364642815786E-001,    0.000000000000000E+000,   -0.938186238148582E+001,   -0.138122551043546E-001
    0.190000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.353122075961931E+002,   -0.456698436076028E-001,    0.000000000000000E+000,   -0.867925498531731E+001,   -0.129053099875002E-001
    0.210000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.336851875521531E+002,   -0.449735663133289E-001,    0.000000000000000E+000,   -0.800934507668425E+001,   -0.120124812470443E-001
    0.230000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.323243357972496E+002,   -0.443417521554922E-001,    0.000000000000000E+000,   -0.736681994874667E+001,   -0.111324872241811E-001
    0.250000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.311749579375243E+002,   -0.437696015147554E-001,    0.000000000000000E+000,   -0.674746179264572E+001,   -0.102641426844716E-001
    0.270000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.301977655867021E+002,   -0.432531396680693E-001,    0.000000000000000E+000,   -0.614783970139918E+001,   -0.940634235464601E-002
    0.290000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.293638205519246E+002,   -0.427890432104148E-001,    0.000000000000000E+000,   -0.556510280891699E+001,   -0.855804793474130E-002
    0.310000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.286513688430464E+002,   -0.423745172773062E-001,    0.000000000000000E+000,   -0.499683677112969E+001,   -0.771827757008463E-002
    0.330000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.280437908222645E+002,   -0.420072056279899E-001,    0.000000000000000E+000,   -0.444096127065738E+001,   -0.688609712652752E-002
    0.350000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.275282354865845E+002,   -0.416851229867682E-001,    0.000000000000000E+000,   -0.389565486757140E+001,   -0.606061282449623E-002
    0.370000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.270946883737479E+002,   -0.414066031393381E-001,    0.000000000000000E+000,   -0.335929853023395E+001,   -0.524096491761969E-002
    0.390000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.267353228536518E+002,   -0.411702586347650E-001,    0.000000000000000E+000,   -0.283043218656392E+001,   -0.442632218484639E-002
    0.410000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.264440419882847E+002,   -0.409749493423510E-001,    0.000000000000000E+000,   -0.230772049449869E+001,   -0.361587706017555E-002
    0.430000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.262161521492623E+002,   -0.408197579786784E-001,    0.000000000000000E+000,   -0.178992520936893E+001,   -0.280884126206585E-002
    0.450000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.260481303805975E+002,   -0.407039712819735E-001,    0.000000000000000E+000,   -0.127588228975776E+001,   -0.200444181134417E-002
    0.470000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.259374606311861E+002,   -0.406270658944292E-001,    0.000000000000000E+000,   -0.764482385741040E+000,   -0.120191734559677E-002
    0.490000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.258825225721416E+002,   -0.405886982892214E-001,    0.000000000000000E+000,   -0.254653685592248E+000,   -0.400514651756707E-003
    0.510000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.258825225721416E+002,   -0.405886982892215E-001,    0.000000000000000E+000,    0.254653685592248E+000,    0.400514651756705E-003
    0.530000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.259374606311861E+002,   -0.406270658944292E-001,    0.000000000000000E+000,    0.764482385741043E+000,    0.120191734559677E-002
    0.550000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.260481303805975E+002,   -0.407039712819735E-001,    0.000000000000000E+000,    0.127588228975776E+001,    0.200444181134417E-002
    0.570000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.262161521492623E+002,   -0.408197579786784E-001,    0.000000000000000E+000,    0.178992520936893E+001,    0.280884126206585E-002
    0.590000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.264440419882847E+002,   -0.409749493423510E-001,    0.000000000000000E+000,    0.230772049449869E+001,    0.361587706017554E-002
    0.610000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.267353228536518E+002,   -0.411702586347650E-001,    0.000000000000000E+000,    0.283043218656392E+001,    0.442632218484639E-002
    0.630000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.270946883737479E+002,   -0.414066031393381E-001,    0.000000000000000E+000,    0.335929853023395E+001,    0.524096491761969E-002
    0.650000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.275282354865844E+002,   -0.416851229867681E-001,    0.000000000000000E+000,    0.389565486757139E+001,    0.606061282449624E-002
    0.670000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.280437908222645E+002,   -0.420072056279899E-001,    0.000000000000000E+000,    0.444096127065738E+001,    0.688609712652751E-002
    0.690000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.286513688430464E+002,   -0.423745172773062E-001,    0.000000000000000E+000,    0.499683677112969E+001,    0.771827757008464E-002
    0.710000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.293638205519246E+002,   -0.427890432104148E-001,    0.000000000000000E+000,    0.556510280891700E+001,    0.855804793474131E-002
    0.730000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.301977655867021E+002,   -0.432531396680693E-001,    0.000000000000000E+000,    0.614783970139918E+001,    0.940634235464602E-002
    0.750000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.311749579375243E+002,   -0.437696015147554E-001,    0.000000000000000E+000,    0.674746179264572E+001,    0.102641426844716E-001
    0.770000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.323243357972495E+002,   -0.443417521554922E-001,    0.000000000000000E+000,    0.736681994874667E+001,    0.111324872241811E-001
    0.790000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.336851875521530E+002,   -0.449735663133289E-001,    0.000000000000000E+000,    0.800934507668425E+001,    0.120124812470443E-001
    0.810000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.353122075961931E+002,   -0.456698436076028E-001,    0.000000000000000E+000,    0.867925498531731E+001,    0.129053099875002E-001
    0.830000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.372838880721586E+002,   -0.464364642815786E-001,    0.000000000000000E+000,    0.938186238148582E+001,    0.138122551043546E-001
    0.850000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.397170875223620E+002,   -0.472807833073893E-001,    0.000000000000000E+000,    0.101240507169205E+002,    0.147347162618494E-001
    0.870000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.427937075976207E+002,   -0.482122657659963E-001,    0.000000000000000E+000,    0.109150414217867E+002,    0.156742405957616E-001
    0.890000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.468128627680761E+002,   -0.492435546195892E-001,    0.000000000000000E+000,    0.117676946840609E+002,    0.166325648896986E-001
    0.910000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.523020051268456E+002,   -0.503923296449131E-001,    0.000000000000000E+000,    0.127008536331323E+002,    0.176116791091499E-001
    0.930000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.602825648531695E+002,   -0.516846360645112E-001,    0.000000000000000E+000,    0.137439110281013E+002,    0.186139271162609E-001
