#x,T,xh2o,xco2,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[],[kW/m3],[kW/m2]
    0.000000000000000E+000,    0.100000000000000E+002,    0.000000000000000E+000,    0.000000000000000E+000,    0.678995985792398E-312,    0.000000000000000E+000,    0.000000000000000E+000,    0.678995985792398E-312,   -0.212322433981705E+002,   -0.196107725540415E+002
    0.100000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.678995985792398E-312,   -0.152233372343732E+003,   -0.775099093505256E+002,    0.488978113517994E-312,   -0.183321794695247E+002,   -0.181254068579746E+002
    0.300000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.965344091119538E+002,   -0.696469850206083E+002,    0.488978113522935E-312,   -0.164041640408138E+002,   -0.167359526706842E+002
    0.500000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.730122833900912E+002,   -0.634647104170661E+002,    0.000000000000000E+000,   -0.149466887627967E+002,   -0.154703439133884E+002
    0.700000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.602825648531695E+002,   -0.583422524853125E+002,    0.000000000000000E+000,   -0.137439110281013E+002,   -0.143073967807323E+002
    0.900000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.523020051268456E+002,   -0.539782910024646E+002,    0.000000000000000E+000,   -0.127008536331323E+002,   -0.132319547548635E+002
    0.110000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.468128627680761E+002,   -0.501990226782083E+002,    0.212199564472184E-316,   -0.117676946840609E+002,   -0.122323383390197E+002
    0.130000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.427937075976207E+002,   -0.468910838454522E+002,    0.000000000000000E+000,   -0.109150414217867E+002,   -0.112991363443389E+002
    0.150000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.397170875223621E+002,   -0.439745364054139E+002,    0.000000000000000E+000,   -0.101240507169205E+002,   -0.104245374656274E+002
    0.170000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.372838880721586E+002,   -0.413901382252603E+002,    0.000000000000000E+000,   -0.938186238148582E+001,   -0.960191645797625E+001
    0.190000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.353122075961931E+002,   -0.390924660053607E+002,    0.000000000000000E+000,   -0.867925498531731E+001,   -0.882555786591108E+001
    0.210000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.336851875521531E+002,   -0.370458109699745E+002,    0.000000000000000E+000,   -0.800934507668425E+001,   -0.809046184984236E+001
    0.230000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.323243357972496E+002,   -0.352215586471028E+002,    0.000000000000000E+000,   -0.736681994874667E+001,   -0.739220242945487E+001
    0.250000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.311749579375243E+002,   -0.335964359679021E+002,    0.000000000000000E+000,   -0.674746179264572E+001,   -0.672682079928839E+001
    0.270000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.301977655867021E+002,   -0.321512968073277E+002,    0.000000000000000E+000,   -0.614783970139918E+001,   -0.609074294958820E+001
    0.290000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.293638205519246E+002,   -0.308702566492658E+002,    0.000000000000000E+000,   -0.556510280891699E+001,   -0.548071461214969E+001
    0.310000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.286513688430464E+002,   -0.297400615098611E+002,    0.000000000000000E+000,   -0.499683677112969E+001,   -0.489374884857751E+001
    0.330000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.280437908222645E+002,   -0.287496187141012E+002,    0.000000000000000E+000,   -0.444096127065738E+001,   -0.432708304692387E+001
    0.350000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.275282354865845E+002,   -0.278896424896657E+002,    0.000000000000000E+000,   -0.389565486757140E+001,   -0.377814303392621E+001
    0.370000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.270946883737479E+002,   -0.271523830367053E+002,    0.000000000000000E+000,   -0.335929853023395E+001,   -0.324451263754269E+001
    0.390000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.267353228536518E+002,   -0.265314177281888E+002,    0.000000000000000E+000,   -0.283043218656392E+001,   -0.272390746218299E+001
    0.410000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.264440419882847E+002,   -0.260214896328211E+002,    0.000000000000000E+000,   -0.230772049449869E+001,   -0.221415193616477E+001
    0.430000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.262161521492623E+002,   -0.256183829391916E+002,    0.000000000000000E+000,   -0.178992520936893E+001,   -0.171315890055109E+001
    0.450000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.260481303805975E+002,   -0.253188278812822E+002,    0.000000000000000E+000,   -0.127588228975776E+001,   -0.121891115801045E+001
    0.470000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.259374606311861E+002,   -0.251204299057904E+002,    0.000000000000000E+000,   -0.764482385741040E+000,   -0.729444507392351E+000
    0.490000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.258825225721416E+002,   -0.250216193872226E+002,    0.000000000000000E+000,   -0.254653685592248E+000,   -0.242831865934823E+000
    0.510000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.258825225721416E+002,   -0.250216193872226E+002,    0.000000000000000E+000,    0.254653685592248E+000,    0.242831865934821E+000
    0.530000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.259374606311861E+002,   -0.251204299057904E+002,    0.000000000000000E+000,    0.764482385741043E+000,    0.729444507392342E+000
    0.550000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.260481303805975E+002,   -0.253188278812822E+002,    0.000000000000000E+000,    0.127588228975776E+001,    0.121891115801046E+001
    0.570000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.262161521492623E+002,   -0.256183829391916E+002,    0.000000000000000E+000,    0.178992520936893E+001,    0.171315890055109E+001
    0.590000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.264440419882847E+002,   -0.260214896328211E+002,    0.000000000000000E+000,    0.230772049449869E+001,    0.221415193616477E+001
    0.610000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.267353228536518E+002,   -0.265314177281888E+002,    0.000000000000000E+000,    0.283043218656392E+001,    0.272390746218299E+001
    0.630000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.270946883737479E+002,   -0.271523830367052E+002,    0.000000000000000E+000,    0.335929853023395E+001,    0.324451263754269E+001
    0.650000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.275282354865844E+002,   -0.278896424896657E+002,    0.000000000000000E+000,    0.389565486757139E+001,    0.377814303392621E+001
    0.670000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.280437908222645E+002,   -0.287496187141012E+002,    0.000000000000000E+000,    0.444096127065738E+001,    0.432708304692386E+001
    0.690000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.286513688430464E+002,   -0.297400615098611E+002,    0.000000000000000E+000,    0.499683677112969E+001,    0.489374884857751E+001
    0.710000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.293638205519246E+002,   -0.308702566492658E+002,    0.000000000000000E+000,    0.556510280891700E+001,    0.548071461214967E+001
    0.730000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.301977655867021E+002,   -0.321512968073277E+002,    0.000000000000000E+000,    0.614783970139918E+001,    0.609074294958820E+001
    0.750000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.311749579375243E+002,   -0.335964359679021E+002,    0.000000000000000E+000,    0.674746179264572E+001,    0.672682079928839E+001
    0.770000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.323243357972495E+002,   -0.352215586471027E+002,    0.000000000000000E+000,    0.736681994874667E+001,    0.739220242945488E+001
    0.790000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.336851875521530E+002,   -0.370458109699744E+002,    0.000000000000000E+000,    0.800934507668425E+001,    0.809046184984236E+001
    0.810000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.353122075961931E+002,   -0.390924660053607E+002,    0.000000000000000E+000,    0.867925498531731E+001,    0.882555786591109E+001
    0.830000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.372838880721586E+002,   -0.413901382252603E+002,    0.000000000000000E+000,    0.938186238148582E+001,    0.960191645797624E+001
    0.850000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.397170875223620E+002,   -0.439745364054139E+002,    0.000000000000000E+000,    0.101240507169205E+002,    0.104245374656274E+002
    0.870000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.427937075976207E+002,   -0.468910838454522E+002,    0.000000000000000E+000,    0.109150414217867E+002,    0.112991363443389E+002
    0.890000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.468128627680761E+002,   -0.501990226782083E+002,    0.000000000000000E+000,    0.117676946840609E+002,    0.122323383390197E+002
    0.910000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.523020051268456E+002,   -0.539782910024646E+002,    0.000000000000000E+000,    0.127008536331323E+002,    0.132319547548635E+002
    0.930000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.602825648531695E+002,   -0.583422524853125E+002,    0.000000000000000E+000,    0.137439110281013E+002,    0.143073967807323E+002
    0.950000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.730122833900912E+002,   -0.634647104170662E+002,    0.000000000000000E+000,    0.149466887627967E+002,    0.154703439133884E+002
    0.970000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.965344091119538E+002,   -0.696469850206083E+002,    0.000000000000000E+000,    0.164041640408138E+002,    0.167359526706842E+002
    0.990000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.152233372343731E+003,   -0.775099093505256E+002,    0.000000000000000E+000,    0.183321794695247E+002,    0.181254068579746E+002
    0.100000000000000E+001,    0.100000000000000E+002,    0.000000000000000E+000,    0.000000000000000E+000,    0.000000000000000E+000,    0.000000000000000E+000,    0.000000000000000E+000,    0.000000000000000E+000,    0.212322433981705E+002,    0.196107725540415E+002
