#x,T,xh2o,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[kW/m3],[kW/m2]
    0.000000000000000E+000,    0.125000000000000E+004,    0.100000000000000E+000,    0.686943264119175E-312,   -0.134613589403498E+002,   -0.103365998042544E+002,    0.686943264124115E-312,    0.103031444929002E+003,    0.105239270014885E+003
    0.100000000000000E-001,    0.124996915812042E+004,    0.100000000000000E+000,    0.686943264119175E-312,   -0.134507132247743E+002,   -0.103280336090226E+002,    0.505726763988071E-312,    0.103031348787764E+003,    0.105239189261012E+003
    0.300000000000000E-001,    0.124972246874049E+004,    0.100000000000000E+000,    0.505726763997952E-312,   -0.136901681744478E+002,   -0.106571181811782E+002,    0.505726763988071E-312,    0.103299605998339E+003,    0.105445109791976E+003
    0.500000000000000E-001,    0.124922933343328E+004,    0.100000000000000E+000,    0.505726763997952E-312,   -0.138794321787069E+002,   -0.109405035199056E+002,    0.000000000000000E+000,    0.103571976192767E+003,    0.105657011638117E+003
    0.700000000000000E-001,    0.124849023886379E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.140217517060337E+002,   -0.111795945602915E+002,    0.000000000000000E+000,    0.103847526306731E+003,    0.105874021070737E+003
    0.900000000000000E-001,    0.124750591442914E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.141195161918533E+002,   -0.113756305384463E+002,    0.000000000000000E+000,    0.104125371308540E+003,    0.106095288473638E+003
    0.110000000000000E+000,    0.124627733153869E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.141746679555915E+002,   -0.115297575250389E+002,    0.212199564472184E-316,    0.104404664228373E+003,    0.106319986452449E+003
    0.130000000000000E+000,    0.124480570265544E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.141888148211054E+002,   -0.116430688133626E+002,    0.000000000000000E+000,    0.104684590013467E+003,    0.106547308753067E+003
    0.150000000000000E+000,    0.124309248009942E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.141633447591944E+002,   -0.117166294490248E+002,    0.000000000000000E+000,    0.104964361007930E+003,    0.106776469672329E+003
    0.170000000000000E+000,    0.124113935461445E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.140996709236685E+002,   -0.117514923036628E+002,    0.000000000000000E+000,    0.105243215673931E+003,    0.107006703792191E+003
    0.190000000000000E+000,    0.123894825369958E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.139989191075308E+002,   -0.117487092073084E+002,    0.000000000000000E+000,    0.105520416435390E+003,    0.107237265939065E+003
    0.210000000000000E+000,    0.123652133970689E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.138620842093549E+002,   -0.117093389033890E+002,    0.000000000000000E+000,    0.105795245835257E+003,    0.107467431305390E+003
    0.230000000000000E+000,    0.123386100770747E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.136902400178857E+002,   -0.116344527652282E+002,    0.000000000000000E+000,    0.106067006263192E+003,    0.107696495689530E+003
    0.250000000000000E+000,    0.123096988312782E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.134847755265775E+002,   -0.115251387941648E+002,    0.000000000000000E+000,    0.106335023985994E+003,    0.107923775820785E+003
    0.270000000000000E+000,    0.122785081915886E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.132469944517959E+002,   -0.113825041776122E+002,    0.000000000000000E+000,    0.106598651485204E+003,    0.108148609742510E+003
    0.290000000000000E+000,    0.122450689394015E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.129801487609515E+002,   -0.112076765079338E+002,    0.000000000000000E+000,    0.106857285233966E+003,    0.108370357229489E+003
    0.310000000000000E+000,    0.122094140752217E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.126832894781299E+002,   -0.110018035727153E+002,    0.000000000000000E+000,    0.107110344218486E+003,    0.108588400216255E+003
    0.330000000000000E+000,    0.121715787860955E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.123571195817326E+002,   -0.107660513279479E+002,    0.000000000000000E+000,    0.107357245504498E+003,    0.108802143210344E+003
    0.350000000000000E+000,    0.121316004108852E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.120027624745480E+002,   -0.105015990740984E+002,    0.000000000000000E+000,    0.107597423981027E+003,    0.109011013656052E+003
    0.370000000000000E+000,    0.120895184034207E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.116214977755041E+002,   -0.102096295630540E+002,    0.000000000000000E+000,    0.107830337995792E+003,    0.109214462194231E+003
