#x,T,xh2o,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[kW/m3],[kW/m2]
    0.000000000000000E+000,    0.500000000000000E+003,    0.000000000000000E+000,    0.630960425100106E-312,    0.000000000000000E+000,    0.000000000000000E+000,    0.000000000000000E+000,   -0.788908692789585E+002,   -0.498246370590643E+002
    0.100000000000000E-001,    0.503141587485880E+003,    0.314158748587956E-002,    0.630960425100106E-312,   -0.273220878909181E-001,    0.106658857925381E+000,    0.000000000000000E+000,   -0.788861284829819E+002,   -0.498246328843374E+002
    0.300000000000000E-001,    0.509424638433144E+003,    0.942463843314401E-002,    0.529364018879379E-312,   -0.663471008610008E-001,    0.325784149591771E+000,    0.000000000000000E+000,   -0.788769603950036E+002,   -0.498267310444155E+002
    0.500000000000000E-001,    0.515707317311821E+003,    0.157073173118207E-001,    0.529364018879379E-312,   -0.557622758843154E-001,    0.552292126131038E+000,    0.000000000000000E+000,   -0.788684832297381E+002,   -0.498331724835541E+002
    0.700000000000000E-001,    0.521989376092505E+003,    0.219893760925051E-001,    0.106099792117405E-315,    0.107350785287928E-001,    0.785748645827679E+000,    0.000000000000000E+000,   -0.788616334240474E+002,   -0.498441003370479E+002
    0.900000000000000E-001,    0.528270566770273E+003,    0.282705667702733E-001,    0.000000000000000E+000,    0.124696163697535E+000,    0.102571851690765E+001,    0.000000000000000E+000,   -0.788572535112449E+002,   -0.498596489354123E+002
    0.110000000000000E+000,    0.534550641374472E+003,    0.345506413744723E-001,    0.529364018879379E-312,    0.273610065104320E+000,    0.127176594341111E+001,    0.000000000000000E+000,   -0.788559699485625E+002,   -0.498799437937675E+002
    0.130000000000000E+000,    0.540829351978510E+003,    0.408293519785100E-001,    0.529364018879379E-312,    0.445396914052367E+000,    0.152345500091278E+001,    0.000000000000000E+000,   -0.788581881578608E+002,   -0.499051016105197E+002
    0.150000000000000E+000,    0.547106450709643E+003,    0.471064507096427E-001,    0.529364018879379E-312,    0.630328329014535E+000,    0.178035013302312E+001,    0.000000000000000E+000,   -0.788641300421807E+002,   -0.499352302757457E+002
    0.170000000000000E+000,    0.553381689758760E+003,    0.533816897587605E-001,    0.000000000000000E+000,    0.819354414887789E+000,    0.203946047048161E+001,    0.000000000000000E+000,   -0.788739195175198E+002,   -0.499704309409336E+002
    0.190000000000000E+000,    0.559654821390171E+003,    0.596548213901707E-001,    0.212199564472184E-316,    0.100537238026803E+001,    0.229996708627274E+001,    0.000000000000000E+000,   -0.788875171311114E+002,   -0.500107440469490E+002
    0.210000000000000E+000,    0.565925597951378E+003,    0.659255979513779E-001,    0.000000000000000E+000,    0.118875221874773E+001,    0.256343037757413E+001,    0.000000000000000E+000,   -0.789047925793075E+002,   -0.500561913771577E+002
    0.230000000000000E+000,    0.572193771882861E+003,    0.721937718828606E-001,    0.000000000000000E+000,    0.136875113184734E+001,    0.282945904430732E+001,    0.000000000000000E+000,   -0.789256609488003E+002,   -0.501068272368858E+002
    0.250000000000000E+000,    0.578459095727845E+003,    0.784590957278449E-001,    0.529364018879379E-312,    0.154544406553180E+001,    0.309766323793720E+001,    0.000000000000000E+000,   -0.789500412370737E+002,   -0.501626980714152E+002
    0.270000000000000E+000,    0.584721322142073E+003,    0.847213221420735E-001,    0.000000000000000E+000,    0.171888428116879E+001,    0.336765495276631E+001,    0.000000000000000E+000,   -0.789778597022353E+002,   -0.502238425029961E+002
    0.290000000000000E+000,    0.590980203903570E+003,    0.909802039035699E-001,    0.000000000000000E+000,    0.189022304014140E+001,    0.363904841169201E+001,    0.000000000000000E+000,   -0.790090568265593E+002,   -0.502902913753396E+002
    0.310000000000000E+000,    0.597235493922399E+003,    0.972354939223993E-001,    0.000000000000000E+000,    0.206217089770911E+001,    0.391146045141752E+001,    0.000000000000000E+000,   -0.790436088072504E+002,   -0.503620678055663E+002
    0.330000000000000E+000,    0.603486945250423E+003,    0.103486945250423E+000,    0.529364018879379E-312,    0.222734274796514E+001,    0.418283659829583E+001,    0.000000000000000E+000,   -0.790814895612161E+002,   -0.504391887161980E+002
    0.350000000000000E+000,    0.609734311091045E+003,    0.109734311091045E+000,    0.212199564472184E-316,    0.238470603074259E+001,    0.445285021433534E+001,    0.000000000000000E+000,   -0.791225672321660E+002,   -0.505216288543326E+002
    0.370000000000000E+000,    0.615977344808961E+003,    0.115977344808961E+000,    0.000000000000000E+000,    0.254005155637553E+001,    0.472236539576318E+001,    0.000000000000000E+000,   -0.791667268679260E+002,   -0.506093551776452E+002
    0.390000000000000E+000,    0.622215799939889E+003,    0.122215799939889E+000,    0.529364018612583E-312,    0.269201184168550E+001,    0.499100950702495E+001,    0.000000000000000E+000,   -0.792139173212819E+002,   -0.507023529346675E+002
    0.410000000000000E+000,    0.628449430200303E+003,    0.128449430200303E+000,    0.000000000000000E+000,    0.284960543262448E+001,    0.525841411715833E+001,    0.000000000000000E+000,   -0.792641434443095E+002,   -0.508005999470609E+002
    0.430000000000000E+000,    0.634677989497153E+003,    0.134677989497153E+000,    0.000000000000000E+000,    0.300963455774338E+001,    0.552421540769346E+001,    0.000000000000000E+000,   -0.793174538171552E+002,   -0.509040667017141E+002
    0.450000000000000E+000,    0.640901231937583E+003,    0.140901231937583E+000,    0.000000000000000E+000,    0.316574699354629E+001,    0.578805462613301E+001,    0.000000000000000E+000,   -0.793738321411637E+002,   -0.510127164516242E+002
    0.470000000000000E+000,    0.647118911838637E+003,    0.147118911838637E+000,    0.000000000000000E+000,    0.331663415103749E+001,    0.604957858898740E+001,    0.000000000000000E+000,   -0.794332054138515E+002,   -0.511265053265281E+002
    0.490000000000000E+000,    0.653330783736961E+003,    0.153330783736961E+000,    0.000000000000000E+000,    0.346272776013604E+001,    0.630844023680225E+001,    0.000000000000000E+000,   -0.794954899216219E+002,   -0.512453824542938E+002
    0.510000000000000E+000,    0.659536602398486E+003,    0.159536602398486E+000,    0.000000000000000E+000,    0.361087259967518E+001,    0.656429924212475E+001,    0.000000000000000E+000,   -0.795606481964701E+002,   -0.513692900940867E+002
    0.530000000000000E+000,    0.665736122828120E+003,    0.165736122828120E+000,    0.000000000000000E+000,    0.375421330530946E+001,    0.681682267008852E+001,    0.000000000000000E+000,   -0.796286374243001E+002,   -0.514981637823126E+002
    0.550000000000000E+000,    0.671929100279410E+003,    0.171929100279410E+000,    0.000000000000000E+000,    0.389396679218002E+001,    0.706568569042685E+001,    0.000000000000000E+000,   -0.796993781457796E+002,   -0.516319324922942E+002
    0.570000000000000E+000,    0.678115290264210E+003,    0.178115290264210E+000,    0.000000000000000E+000,    0.403485493301050E+001,    0.731057233943854E+001,    0.000000000000000E+000,   -0.797728376716563E+002,   -0.517705188085904E+002
    0.590000000000000E+000,    0.684294448562333E+003,    0.184294448562333E+000,    0.000000000000000E+000,    0.417647588838723E+001,    0.755117633091416E+001,    0.000000000000000E+000,   -0.798490169862026E+002,   -0.519138391168141E+002
    0.610000000000000E+000,    0.690466331231190E+003,    0.190466331231190E+000,    0.000000000000000E+000,    0.431607859755467E+001,    0.778720191648868E+001,    0.000000000000000E+000,   -0.799278878218295E+002,   -0.520618038097760E+002
    0.630000000000000E+000,    0.696630694615420E+003,    0.196630694615420E+000,    0.000000000000000E+000,    0.445926266886675E+001,    0.801836479855593E+001,    0.000000000000000E+000,   -0.800094326999744E+002,   -0.522143175107859E+002
    0.650000000000000E+000,    0.702787295356512E+003,    0.202787295356512E+000,    0.000000000000000E+000,    0.458315359141227E+001,    0.823914244359478E+001,    0.000000000000000E+000,   -0.800936081401394E+002,   -0.523712895516233E+002
    0.670000000000000E+000,    0.708935890402412E+003,    0.208935890402412E+000,    0.000000000000000E+000,    0.468369830437587E+001,    0.844743118116211E+001,    0.000000000000000E+000,   -0.801801284994020E+002,   -0.525325140569129E+002
    0.690000000000000E+000,    0.715076237017113E+003,    0.215076237017113E+000,    0.000000000000000E+000,    0.479223928679759E+001,    0.864898071621576E+001,    0.000000000000000E+000,   -0.802687661777905E+002,   -0.526977269636588E+002
    0.710000000000000E+000,    0.721208092790247E+003,    0.221208092790247E+000,    0.000000000000000E+000,    0.490228503747170E+001,    0.884352269570219E+001,    0.000000000000000E+000,   -0.803595675055506E+002,   -0.528667906510598E+002
    0.730000000000000E+000,    0.727331215646646E+003,    0.227331215646646E+000,    0.000000000000000E+000,    0.501222276843498E+001,    0.903080074163221E+001,    0.000000000000000E+000,   -0.804525243556496E+002,   -0.530395623197989E+002
    0.750000000000000E+000,    0.733445363855905E+003,    0.233445363855905E+000,    0.000000000000000E+000,    0.511925319931282E+001,    0.921057082189332E+001,    0.000000000000000E+000,   -0.805475985401256E+002,   -0.532158942390740E+002
    0.770000000000000E+000,    0.739550296041922E+003,    0.239550296041922E+000,    0.000000000000000E+000,    0.522265830730730E+001,    0.938260160726213E+001,    0.000000000000000E+000,   -0.806447193789317E+002,   -0.533956340004006E+002
    0.790000000000000E+000,    0.745645771192426E+003,    0.245645771192426E+000,    0.000000000000000E+000,    0.532260597620754E+001,    0.954667481748786E+001,    0.000000000000000E+000,   -0.807438052739298E+002,   -0.535786247779210E+002
    0.810000000000000E+000,    0.751731548668497E+003,    0.251731548668497E+000,    0.000000000000000E+000,    0.541474146169221E+001,    0.970258556105415E+001,    0.000000000000000E+000,   -0.808447452893061E+002,   -0.537647055950300E+002
    0.830000000000000E+000,    0.757807388214060E+003,    0.257807388214060E+000,    0.000000000000000E+000,    0.550068953500039E+001,    0.985014267515446E+001,    0.000000000000000E+000,   -0.809474285627812E+002,   -0.539537115972246E+002
    0.850000000000000E+000,    0.763873049965373E+003,    0.263873049965373E+000,    0.000000000000000E+000,    0.558527645214033E+001,    0.998916907472456E+001,    0.000000000000000E+000,   -0.810517903644090E+002,   -0.541454743312299E+002
    0.870000000000000E+000,    0.769928294460496E+003,    0.269928294460496E+000,    0.000000000000000E+000,    0.566914193028696E+001,    0.101195021223624E+002,    0.000000000000000E+000,   -0.811577912966256E+002,   -0.543398220306258E+002
    0.890000000000000E+000,    0.775972882648746E+003,    0.275972882648746E+000,    0.000000000000000E+000,    0.575613780952117E+001,    0.102409940350850E+002,    0.000000000000000E+000,   -0.812654294011359E+002,   -0.545365799084391E+002
    0.910000000000000E+000,    0.782006575900130E+003,    0.282006575900129E+000,    0.000000000000000E+000,    0.584921100031048E+001,    0.103535123498093E+002,    0.000000000000000E+000,   -0.813747551611862E+002,   -0.547355704574789E+002
    0.930000000000000E+000,    0.788029136014769E+003,    0.288029136014769E+000,    0.000000000000000E+000,    0.595036843073744E+001,    0.104569404782196E+002,    0.000000000000000E+000,   -0.814858773528690E+002,   -0.549366137596242E+002
    0.950000000000000E+000,    0.794040325232304E+003,    0.294040325232304E+000,    0.000000000000000E+000,    0.606918740275154E+001,    0.105511783948547E+002,    0.000000000000000E+000,   -0.815989704757409E+002,   -0.551395278058786E+002
    0.970000000000000E+000,    0.800039906241276E+003,    0.300039906241276E+000,    0.000000000000000E+000,    0.622434374069669E+001,    0.106361703416524E+002,    0.000000000000000E+000,   -0.817143247954022E+002,   -0.553441275543799E+002
