#x,T,xh2o,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[kW/m3],[kW/m2]
    0.000000000000000E+000,    0.500000000000000E+003,    0.000000000000000E+000,    0.684620735583456E-312,    0.000000000000000E+000,    0.000000000000000E+000,    0.000000000000000E+000,   -0.788908692789585E+002,   -0.951759944448701E+002
    0.100000000000000E-001,    0.503141587485880E+003,    0.314158748587956E-002,    0.684620735583456E-312,   -0.273220878909181E-001,    0.638139284445531E-001,    0.000000000000000E+000,   -0.788861284829819E+002,   -0.951759930823564E+002
    0.300000000000000E-001,    0.509424638433144E+003,    0.942463843314401E-002,    0.517106821914120E-312,   -0.663471008610008E-001,    0.197091711762933E+000,    0.000000000000000E+000,   -0.788769603950036E+002,   -0.951772578201287E+002
    0.500000000000000E-001,    0.515707317311821E+003,    0.157073173118207E-001,    0.517106821914120E-312,   -0.557622758843154E-001,    0.337821938507483E+000,    0.000000000000000E+000,   -0.788684832297381E+002,   -0.951811748828041E+002
    0.700000000000000E-001,    0.521989376092505E+003,    0.219893760925051E-001,    0.106099792117405E-315,    0.107350785287928E-001,    0.485897538354020E+000,    0.000000000000000E+000,   -0.788616334240474E+002,   -0.951878914585955E+002
    0.900000000000000E-001,    0.528270566770273E+003,    0.282705667702733E-001,    0.000000000000000E+000,    0.124696163697535E+000,    0.641200091260559E+000,    0.000000000000000E+000,   -0.788572535112449E+002,   -0.951975524920554E+002
    0.110000000000000E+000,    0.534550641374472E+003,    0.345506413744723E-001,    0.517106821914120E-312,    0.273610065104320E+000,    0.803600068365605E+000,    0.000000000000000E+000,   -0.788559699485625E+002,   -0.952103004566925E+002
    0.130000000000000E+000,    0.540829351978510E+003,    0.408293519785100E-001,    0.517106821914120E-312,    0.445396914052367E+000,    0.972957074864626E+000,    0.000000000000000E+000,   -0.788581881578608E+002,   -0.952262751326833E+002
    0.150000000000000E+000,    0.547106450709643E+003,    0.471064507096427E-001,    0.517106821914120E-312,    0.630328329014535E+000,    0.114912009598288E+001,    0.000000000000000E+000,   -0.788641300421807E+002,   -0.952456133897258E+002
    0.170000000000000E+000,    0.553381689758760E+003,    0.533816897587605E-001,    0.000000000000000E+000,    0.819354414887789E+000,    0.133049384816331E+001,    0.000000000000000E+000,   -0.788739195175198E+002,   -0.952684495940809E+002
    0.190000000000000E+000,    0.559654821390171E+003,    0.596548213901707E-001,    0.212199564472184E-316,    0.100537238026803E+001,    0.151654947266213E+001,    0.000000000000000E+000,   -0.788875171311114E+002,   -0.952948859247635E+002
    0.210000000000000E+000,    0.565925597951378E+003,    0.659255979513779E-001,    0.000000000000000E+000,    0.118875221874773E+001,    0.170814138900733E+001,    0.000000000000000E+000,   -0.789047925793075E+002,   -0.953250132184050E+002
    0.230000000000000E+000,    0.572193771882861E+003,    0.721937718828606E-001,    0.000000000000000E+000,    0.136875113184734E+001,    0.190505589631887E+001,    0.000000000000000E+000,   -0.789256609488003E+002,   -0.953589397127367E+002
    0.250000000000000E+000,    0.578459095727845E+003,    0.784590957278449E-001,    0.517106821914120E-312,    0.154544406553180E+001,    0.210707283218089E+001,    0.000000000000000E+000,   -0.789500412370737E+002,   -0.953967692895325E+002
    0.270000000000000E+000,    0.584721322142073E+003,    0.847213221420735E-001,    0.000000000000000E+000,    0.171888428116879E+001,    0.231396571234325E+001,    0.000000000000000E+000,   -0.789778597022353E+002,   -0.954386013471141E+002
