3 3 3  ! nx ny nz
! Dados para cada célula (i,j,k): T[K] p[Pa] x_h2o x_co2
! Camada k=1
300.0 101325.0 0.1 0.05  300.0 101325.0 0.1 0.05  300.0 101325.0 0.1 0.05
310.0 101325.0 0.1 0.05  320.0 101325.0 0.1 0.05  310.0 101325.0 0.1 0.05
300.0 101325.0 0.1 0.05  300.0 101325.0 0.1 0.05  300.0 101325.0 0.1 0.05
! Camada k=2
400.0 101325.0 0.08 0.1  410.0 101325.0 0.08 0.1  400.0 101325.0 0.08 0.1
420.0 101325.0 0.08 0.1  450.0 101325.0 0.08 0.1  420.0 101325.0 0.08 0.1
400.0 101325.0 0.08 0.1  410.0 101325.0 0.08 0.1  400.0 101325.0 0.08 0.1
! Camada k=3
500.0 101325.0 0.05 0.15  510.0 101325.0 0.05 0.15  500.0 101325.0 0.05 0.15
520.0 101325.0 0.05 0.15  550.0 101325.0 0.05 0.15  520.0 101325.0 0.05 0.15
500.0 101325.0 0.05 0.15  510.0 101325.0 0.05 0.15  500.0 101325.0 0.05 0.15
